large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,IP,event_content
弱虫ペダル,2013-04-10,20,72.25,45.5,10,5.5,5.5,,,,弱虫ペダル,ドラマ/青春
弱虫ペダル,2013-04-10,20,72.25,45.5,10,5.5,5.5,,,,弱虫ペダル,ドラマ/青春
ハナヤマタ,2014-05-30,35,248.1142857,152,37,107.1621622,53,,,,ハナヤマタ,ドラマ/青春
ハナヤマタ,2014-05-30,35,248.1142857,152,37,107.1621622,53,,,,ハナヤマタ,ドラマ/青春
異種族レビュアーズ,2019-12-20,6,444.6666667,406,11,2105.818182,575,,,,異種族レビュアーズ,SF/ファンタジー
異種族レビュアーズ,2019-12-20,6,444.6666667,406,11,2105.818182,575,,,,異種族レビュアーズ,コメディ/ギャグ
宇宙よりも遠い場所,2018-02-26,36,1086.944444,827,166,583.8795181,375,,,,宇宙よりも遠い場所,ドラマ/青春
宇宙よりも遠い場所,2018-02-26,36,1086.944444,827,166,583.8795181,375,,,,宇宙よりも遠い場所,アクション/バトル
うちのメイドがウザすぎる!,2018-07-24,4,111.5,112.5,15,252.4666667,110,17,41,29,うちのメイドがウザすぎる!,恋愛/ラブコメ
うちのメイドがウザすぎる!,2018-07-24,4,111.5,112.5,15,252.4666667,110,17,41,29,うちのメイドがウザすぎる!,コメディ/ギャグ
妖狐×僕SS,2012-01-20,4,95,66,55,39.27272727,14,,,,妖狐×僕SS,ドラマ/青春
妖狐×僕SS,2012-01-20,4,95,66,55,39.27272727,14,,,,妖狐×僕SS,恋愛/ラブコメ
妖狐×僕SS,2012-01-20,4,95,66,55,39.27272727,14,,,,妖狐×僕SS,SF/ファンタジー
暁のヨナ,2014-08-06,6,157,157.5,5,149.2,117,,,,暁のヨナ,恋愛/ラブコメ
暁のヨナ,2014-08-06,6,157,157.5,5,149.2,117,,,,暁のヨナ,SF/ファンタジー
暁のヨナ,2014-08-06,6,157,157.5,5,149.2,117,,,,暁のヨナ,アクション/バトル
転生王女と天才令嬢の魔法革命,2023-01-12,19,1621.736842,1199,64,873.390625,608,,,,転生王女と天才令嬢の魔法革命,SF/ファンタジー
転生王女と天才令嬢の魔法革命,2023-01-12,19,1621.736842,1199,64,873.390625,608,,,,転生王女と天才令嬢の魔法革命,SF/ファンタジー
デスマーチからはじまる異世界狂想曲,2018-01-12,12,133.5,125,40,278.275,226,,,,デスマーチからはじまる異世界狂想曲,SF/ファンタジー
デスマーチからはじまる異世界狂想曲,2018-01-12,12,133.5,125,40,278.275,226,,,,デスマーチからはじまる異世界狂想曲,SF/ファンタジー
魔王学院の不適合者 〜史上最強の魔王の始祖、転生して子孫たちの学校へ通う〜,2020-07-05,126,1510.142857,1291.5,54,1541.166667,1198.5,30,1171.3,872.5,魔王学院の不適合者 〜史上最強の魔王の始祖、転生して子孫たちの学校へ通う〜,ドラマ/青春
魔王学院の不適合者 〜史上最強の魔王の始祖、転生して子孫たちの学校へ通う〜,2020-07-05,126,1510.142857,1291.5,54,1541.166667,1198.5,30,1171.3,872.5,魔王学院の不適合者 〜史上最強の魔王の始祖、転生して子孫たちの学校へ通う〜,SF/ファンタジー
魔王学院の不適合者 〜史上最強の魔王の始祖、転生して子孫たちの学校へ通う〜,2020-07-05,126,1510.142857,1291.5,54,1541.166667,1198.5,30,1171.3,872.5,魔王学院の不適合者 〜史上最強の魔王の始祖、転生して子孫たちの学校へ通う〜,SF/ファンタジー
白聖女と黒牧師,2023-04-21,6,2701.5,296.5,241,2074.008299,438,,,,白聖女と黒牧師,恋愛/ラブコメ
白聖女と黒牧師,2023-04-21,6,2701.5,296.5,241,2074.008299,438,,,,白聖女と黒牧師,SF/ファンタジー
忍たま乱太郎,2020-06-29,15,3435,3310,12,2131,2226,,,,忍たま乱太郎,コメディ/ギャグ
犬夜叉,2020-10-24,6,2568.666667,2567,148,4858.256757,2987,,,,犬夜叉,ドラマ/青春
犬夜叉,2020-10-24,6,2568.666667,2567,148,4858.256757,2987,,,,犬夜叉,SF/ファンタジー
犬夜叉,2020-10-24,6,2568.666667,2567,148,4858.256757,2987,,,,犬夜叉,アクション/バトル
TARI TARI,2012-06-29,29,76.48275862,65,11,32.09090909,22,,,,TARI TARI,ドラマ/青春
灼熱の卓球娘,2016-10-04,23,485.0434783,433,105,78.4,17,,,,灼熱の卓球娘,ドラマ/青春
この音とまれ!,2019-04-21,27,892.6666667,715,75,3063.76,1828,,,,この音とまれ!,ドラマ/青春
彼女、お借りします,2020-06-13,36,1391.5,976.5,351,3929.692308,2761,180,4745.383333,1249,彼女、お借りします,ドラマ/青春
彼女、お借りします,2020-06-13,36,1391.5,976.5,351,3929.692308,2761,180,4745.383333,1249,彼女、お借りします,恋愛/ラブコメ
乙女ゲー世界はモブに厳しい世界です,2022-04-01,1,339,339,44,506.0454545,360.5,,,,乙女ゲー世界はモブに厳しい世界です,SF/ファンタジー
悪役令嬢なのでラスボスを飼ってみました,2022-10-27,2,599,599,6,162.5,131,28,772.9642857,246,悪役令嬢なのでラスボスを飼ってみました,ドラマ/青春
悪役令嬢なのでラスボスを飼ってみました,2022-10-27,2,599,599,6,162.5,131,28,772.9642857,246,悪役令嬢なのでラスボスを飼ってみました,SF/ファンタジー
MAJOR,2018-04-24,12,140.75,144,180,312.3333333,140,,,,MAJOR,ドラマ/青春
