large_class_ip_name,product_date,product_count,product_mean,product_median,three_month_count,three_month_mean,three_month_median,six_month_count,six_month_mean,six_month_median,ip_type
ウィッチクラフトワークス,2014-01-13,27,15.888888888888891,14.0,81,19.679012345679013,11.0,,,,漫画
攻殻機動隊,2014-06-10,32,46.000000000000007,35.5,74,76.486486486486484,41.0,,,,漫画
ダーウィンズゲーム,2020-01-04,31,736.70967741935476,527.0,67,421.34328358208967,246.0,7,252.0,177.0,漫画
この音とまれ!,2019-04-21,27,892.66666666666663,715.0,75,3063.76,1828.0,,,,漫画
DAYS,2016-06-08,16,443.62500000000006,226.0,29,253.00000000000003,158.0,,,,漫画
ぽっこりーず,2020-06-12,5,579.0,517.0,90,684.01111111111106,610.5,36,28.277777777777779,25.5,アニメ
てーきゅう,2012-11-18,70,22.857142857142858,24.0,870,11.70114942528736,9.0,,,,漫画
大図書館の羊飼い,2014-09-25,22,55.5,54.5,12,209.58333333333334,154.0,,,,ゲーム
ゆるゆり,2011-06-12,264,41.469696969696983,21.0,116,26.793103448275861,14.0,,,,漫画
ツルネ -風舞高校弓道部-,2018-09-07,330,878.45454545454538,555.5,145,2633.2068965517233,1222.0,,,,ライトノベル
ヴィンランド・サガ,2019-06-16,20,244.1,209.5,60,776.30000000000007,294.5,,,,漫画
推しが武道館いってくれたら死ぬ,2019-11-28,12,631.50000000000011,563.5,23,1135.7826086956522,295.0,,,,漫画
うらら迷路帖,2017-01-13,29,631.86206896551721,518.0,44,458.8636363636362,380.0,,,,漫画
若おかみは小学生!,2018-04-20,10,97.3,72.0,4,121.0,88.5,,,,ライトノベル
ネプテューヌ,2013-02-28,63,22.555555555555557,18.0,140,50.0,32.5,,,,ゲーム
少年メイド,2016-03-09,18,390.83333333333337,308.5,62,177.62903225806457,95.0,,,,漫画
異世界おじさん,2021-12-24,2,405.5,405.5,7,408.00000000000006,493.0,10,258.19999999999993,151.5,漫画
とんでもスキルで異世界放浪メシ,2022-12-08,4,582.0,574.0,25,2857.6000000000004,1858.0,,,,ライトノベル
浦安鉄筋家族,2020-05-23,4,680.5,388.0,97,700.20618556701015,364.0,,,,漫画
ひとりぼっちの○○生活,2019-01-16,3,250.0,260.0,7,415.71428571428578,235.0,,,,漫画
ダイヤのA,2013-09-07,78,135.56410256410257,114.0,14,441.42857142857144,77.0,,,,漫画
亜人,2015-11-02,32,433.5625,308.5,188,204.46808510638294,101.5,,,,漫画
賢者の弟子を名乗る賢者,2021-11-05,5,285.2,274.0,5,2401.2,1792.0,7,685.85714285714289,353.0,ライトノベル
